Age,Gender,YearsExperience,MonthlySalary,PerformanceScore,Attrition,Dept_Finance,Dept_HR,Dept_IT,Dept_Marketing,Dept_Sales,City_Chicago,City_Houston,City_Los Angeles,City_New York,City_Phoenix
0.5263157894736843,0,0.38235294117647056,0.31726258514307354,0.75,0,1,0,0,0,0,0,0,1,0,0
0.736842105263158,0,0.14705882352941177,0.423466284295086,0.75,0,0,0,1,0,0,1,0,0,0,0
0.368421052631579,0,0.5882352941176471,0.4617931967914563,0.75,1,0,0,1,0,0,1,0,0,0,0
0.1842105263157895,1,0.058823529411764705,0.6157128893116794,0.75,1,0,1,0,0,0,0,1,0,0,0
0.5263157894736843,1,0.1764705882352941,0.517624289585578,0.75,0,0,0,1,0,0,0,0,0,1,0
1.0,1,0.20588235294117646,0.1825850316185071,0.25,0,0,0,0,0,1,0,0,1,0,0
0.5263157894736843,0,0.4117647058823529,0.5624638601874008,0.0,0,0,0,0,1,0,0,0,0,1,0
0.5789473684210527,1,0.8235294117647058,0.6134795097872923,0.5,0,0,0,0,1,0,0,0,0,1,0
0.26315789473684215,0,0.9411764705882353,0.6022317150816521,0.0,0,1,0,0,0,0,0,1,0,0,0
0.26315789473684215,0,0.5882352941176471,0.521253291426282,0.75,1,0,0,1,0,0,0,0,1,0,0
0.605263157894737,1,0.7647058823529411,0.6629336094758238,0.25,0,0,0,0,0,1,0,0,1,0,0
0.9210526315789473,1,0.8235294117647058,0.5799531306211847,1.0,0,1,0,0,0,0,0,0,0,0,1
0.605263157894737,0,0.9411764705882353,0.4627381278731935,0.25,0,0,1,0,0,0,0,0,0,1,0
0.052631578947368474,1,0.7647058823529411,0.11048270094104867,0.75,0,1,0,0,0,0,0,0,0,1,0
0.5526315789473684,0,0.9411764705882353,0.573407109849825,0.25,0,1,0,0,0,0,1,0,0,0,0
0.026315789473684292,0,0.08823529411764705,0.5242643458356233,0.25,0,0,0,1,0,0,0,0,0,0,1
0.605263157894737,0,0.6176470588235294,0.5384118876493034,0.75,0,0,1,0,0,0,1,0,0,0,0
0.763157894736842,0,0.029411764705882353,0.19556015620813522,0.25,0,1,0,0,0,0,1,0,0,0,0
0.9736842105263157,0,0.2647058823529412,0.23889294481475537,0.5,0,0,0,0,0,1,1,0,0,0,0
0.026315789473684292,1,0.11764705882352941,0.7114786503295889,0.5,0,0,0,0,0,1,0,1,0,0,0
0.5263157894736843,1,0.2647058823529412,0.46951635870416447,0.25,0,0,0,0,1,0,0,1,0,0,0
0.8421052631578947,0,0.9411764705882353,0.6291824013708809,1.0,1,0,1,0,0,0,1,0,0,0,0
0.2894736842105263,0,0.5882352941176471,0.4845459444505707,0.75,0,0,1,0,0,0,0,0,0,0,1
0.5526315789473684,1,0.8823529411764706,0.4848642183784297,0.5,1,0,0,0,1,0,0,0,0,1,0
0.631578947368421,1,0.6764705882352942,0.6860428652684165,1.0,0,0,0,0,1,0,0,0,0,0,1
0.6842105263157894,0,0.4117647058823529,0.3640055991705982,0.25,0,0,1,0,0,0,0,0,1,0,0
0.7105263157894737,1,0.8235294117647058,0.49955958697610087,1.0,0,0,0,0,0,1,0,1,0,0,0
0.39473684210526316,0,0.20588235294117646,0.37591193747186874,0.0,0,0,0,0,0,1,0,0,0,1,0
0.368421052631579,1,0.11764705882352941,0.38206321590413045,0.5,1,0,0,1,0,0,0,0,0,1,0
0.052631578947368474,0,0.8235294117647058,0.4098141633078876,0.25,0,0,1,0,0,0,0,0,1,0,0
0.9473684210526316,1,0.08823529411764705,0.5274631759575048,0.75,0,1,0,0,0,0,0,0,1,0,0
0.1578947368421053,0,0.3235294117647059,0.3722641875843939,0.25,1,0,0,0,1,0,1,0,0,0,0
